route_name,stop_id,stop_name
2 Downtown,50640,Dunbar Loop @ Bay 2
2 Downtown,50374,Eastbound W 41 Ave @ Collingwood St
2 Downtown,50375,Eastbound W 41 Ave @ Blenheim St
2 Downtown,60396,Eastbound W 41 Ave @ Carnarvon St
2 Downtown,51259,Northbound Mackenzie St @ W 38 Ave
2 Downtown,51261,Northbound Mackenzie St @ W 34 Ave
2 Downtown,51263,Northbound Mackenzie St @ W 30 Ave
2 Downtown,51265,Northbound Quesnel Dr @ W King Edward Ave
2 Downtown,51266,Northbound Macdonald St @ W King Edward Ave
2 Downtown,51267,Northbound Macdonald St @ Oliver Cres
2 Downtown,51269,Northbound Macdonald St @ W 22 Ave
2 Downtown,50056,Northbound Macdonald St @ W 16 Ave
2 Downtown,60359,Northbound Macdonald St @ W 13 Ave
2 Downtown,50058,Northbound Macdonald St @ W 12 Ave
2 Downtown,50060,Northbound Macdonald St @ W Broadway
2 Downtown,50061,Northbound Macdonald St @ W 7th Ave
2 Downtown,50063,Northbound Macdonald St @ W 4th Ave
2 Downtown,50064,Northbound Macdonald St @ W 2nd Ave
2 Downtown,61809,Eastbound Cornwall Ave @ Trafalgar St
2 Downtown,50067,Eastbound Cornwall Ave @ Balsam St
2 Downtown,50069,Eastbound Cornwall Ave @ Yew St
2 Downtown,50070,Eastbound Cornwall Ave @ Arbutus St
2 Downtown,50072,Eastbound Cornwall Ave @ Cypress St
2 Downtown,50073,Northbound Burrard St @ Pacific St
2 Downtown,50075,Northbound Burrard St @ Davie St
2 Downtown,61759,Northbound Burrard St @ Comox St
2 Downtown,60269,Northbound Burrard St @ Smithe St
2 Downtown,50030,Northbound Burrard St @ Robson St
2 Downtown,50031,Burrard Station @ Bay 7
2 Downtown,51842,Burrard Station @ Bay 4
2 Macdonald,51842,Burrard Station @ Bay 4
2 Macdonald,50043,Burrard Station @ Bay 1
2 Macdonald,50045,Southbound Burrard St @ Robson St
2 Macdonald,50046,Southbound Burrard St @ Barclay St
2 Macdonald,50047,Southbound Burrard St @ Nelson St
2 Macdonald,50098,Southbound Burrard St @ Davie St
2 Macdonald,60197,Southbound Burrard St @ Harwood St
2 Macdonald,60519,Westbound Cornwall Ave @ Maple St
2 Macdonald,50103,Westbound Cornwall Ave @ Arbutus St
2 Macdonald,50104,Westbound Cornwall Ave @ Yew St
2 Macdonald,50105,Westbound Cornwall Ave @ Point Grey Rd
2 Macdonald,50106,Westbound Cornwall Ave @ Trafalgar St
2 Macdonald,50107,Southbound Macdonald St @ W 1st Ave
2 Macdonald,51368,Southbound Macdonald St @ W 4th Ave
2 Macdonald,50109,Southbound Macdonald St @ W 6th Ave
